firstName,lastName,email,phone,companyName,status,leadSource,industry,annualRevenue,numberOfEmployees,street,city,state,zipCode,country
Linda,Sutton,aliciaramsey@example.com,-5345,"Taylor, Mcguire and Banks",Qualified,Email Campaign,Healthcare,8779868,276,4855 Eric Meadow,North Jennifer,Colorado,17183,Yemen
Brenda,Jones,beckylee@example.net,746.853.9142x31094,Ellis Inc,Contacted,Social Media,Finance,3286607,703,25683 Alexander Shoals,Combsview,Rhode Island,74011,Gambia
Denise,Mccormick,ytaylor@example.org,-3591,Hodge Inc,Converted,Social Media,Finance,4128039,583,11613 Tiffany Crest,West Jerry,Wyoming,42800,Libyan Arab Jamahiriya
Alexandra,Howard,bakerjohn@example.net,(201)258-8369x4555,Martin Inc,Contacted,Advertisement,Technology,602818,424,60053 James Plain,Lake Jodi,Colorado,5000,Benin
Carlos,Fuller,pmurray@example.net,+1-585-345-3312x25645,"Garcia, Boyle and Wood",Qualified,Web,Healthcare,9097101,27,5392 Thompson Square,Port Samantha,Arkansas,4137,Guinea-Bissau
Kristen,Allen,jsanford@example.com,+1-861-723-4535x2710,Baker LLC,Converted,Advertisement,Retail,3094692,749,44426 Simmons Road,Elizabethhaven,Idaho,19634,Finland
Anthony,Fisher,lcox@example.com,001-503-369-1980x3923,"Wall, Frey and Jones",Contacted,Advertisement,Education,8359978,692,4433 Raymond Stravenue,Smithstad,Virginia,79603,Bahrain
Sara,Todd,hesterlindsay@example.org,(390)593-7735,Kelly-Coleman,New,Email Campaign,Education,6964955,627,393 Werner Gardens Apt. 614,Hernandezbury,Maryland,93894,Maldives
Stephanie,Gutierrez,handerson@example.net,685.593.3748x1685,"Franklin, Gonzalez and Cole",Converted,Social Media,Education,6372166,942,053 Holly Inlet,South Oliviaville,Minnesota,47814,Croatia
Jeffrey,Ray,murraypaul@example.net,254-464-6697x69124,"Miller, Shaw and Adams",Qualified,Email Campaign,Education,8914986,372,4362 Ebony Fords Suite 747,North Vicki,Indiana,46393,Botswana
April,Cooper,clarkholly@example.com,+1-623-306-6977x1918,"Reyes, Mcdonald and Jordan",Converted,Referral,Healthcare,7060015,502,669 Ramsey Underpass,Williamburgh,Wyoming,54479,Sudan
Brett,Massey,yanderson@example.net,345.662.6493,Wood-Duncan,Converted,Web,Healthcare,1651965,339,6721 Stephens Groves Suite 105,Staffordview,Alabama,83685,Guatemala
Cynthia,Singh,ejohnson@example.net,(291)545-9007,Pratt PLC,Lost,Social Media,Education,9428718,478,86046 Jason Ramp,Port Benjamin,Kentucky,68803,Mozambique
Nicholas,Anderson,linda70@example.net,001-206-629-7396,Wise-Galloway,Qualified,Referral,Technology,308691,231,71764 Kelly Forge Apt. 031,Port Ashlee,New Jersey,48021,Hong Kong
Scott,Woods,bruceheidi@example.com,+1-600-232-8816x4847,Boone Inc,Qualified,Email Campaign,Healthcare,9749260,74,8101 Laura Lane Suite 408,Flemingshire,Colorado,38474,Bulgaria
Kristin,Baker,evansgina@example.com,+1-514-513-7389x734,Barnes Group,Converted,Advertisement,Finance,1434474,720,08848 Roger Lane,Shaneshire,Nebraska,2826,Kyrgyz Republic
Peggy,Cunningham,smithrachel@example.com,(797)210-7496,Raymond-Mueller,Converted,Advertisement,Technology,9751830,532,57827 Allen Hill Suite 124,Taylorborough,Georgia,25107,Northern Mariana Islands
Victoria,Miller,angela86@example.com,(237)529-3183x50585,Hansen Ltd,Contacted,Advertisement,Finance,9854805,90,78393 Jose Canyon,West Deannaton,Kansas,3256,Nepal
Deanna,Mahoney,melissa14@example.net,480.622.1007x18258,Holmes-White,Qualified,Advertisement,Retail,3040754,67,960 Aaron Meadows Suite 543,Joyceburgh,New Jersey,28374,Saudi Arabia
Melissa,Davis,shopkins@example.com,259-334-2675,Williams LLC,Qualified,Web,Retail,1833494,362,517 Sherri View Apt. 841,West Douglas,Texas,71790,Suriname
Stephanie,Wong,jtaylor@example.org,4493507649,Roberts-Montgomery,Contacted,Referral,Retail,3768876,112,412 Nicole Mountains,New Christopherbury,Arizona,63977,Lithuania
Drew,Meyer,nhudson@example.org,001-424-240-3268x1194,Yang LLC,Qualified,Email Campaign,Education,4138639,103,3717 Derrick Cliffs,South Erichaven,Illinois,73545,French Polynesia
Stephanie,Williams,baueradam@example.net,757-347-5006,Thomas-Lopez,Qualified,Web,Healthcare,7672580,828,66299 Cohen Village,East Sarahton,Minnesota,16787,Australia
Charles,Golden,courtney42@example.net,(470)934-9175,Hernandez Ltd,Converted,Referral,Technology,7817631,669,3954 Clark Island Suite 467,Ashleyside,North Carolina,79159,Timor-Leste
Mike,Moses,eatonsean@example.org,+1-746-285-8649x9495,Yates Group,Converted,Advertisement,Healthcare,6316079,408,285 Franco Via Suite 667,Harrisburgh,Utah,57344,Mayotte
Nicolas,Herrera,brandoncastro@example.net,442.449.5615,Johns LLC,New,Web,Technology,8497493,131,1740 Mullins Stream Apt. 925,East John,Maine,87168,Tonga
Michelle,Newman,kimgarcia@example.com,+1-484-464-2874x85736,Casey Ltd,Contacted,Advertisement,Technology,159895,885,746 Madison Corners Suite 182,Brooksborough,Nebraska,47863,Korea
Tara,Hoffman,charles59@example.net,967-409-2491,Webster LLC,Contacted,Social Media,Healthcare,892033,343,242 Holder Forges,New Benjamin,Virginia,769,Guadeloupe
Eric,Anderson,abowen@example.org,(351)621-3703x2925,Brady PLC,New,Web,Education,2980003,18,834 Davis Parkway Suite 683,North Jasonville,North Carolina,10848,Chile
Raymond,Gilbert,brent06@example.org,(793)862-7758,Robertson-Robbins,Qualified,Email Campaign,Finance,946857,726,9445 Dawn Street Suite 045,North Tracey,South Carolina,17332,Dominica
Kristina,Thomas,martinezrandall@example.org,570.758.0794x814,"Moore, Powell and Powell",Lost,Social Media,Healthcare,9268411,649,79543 Steve Orchard,Gonzalezburgh,Oregon,94493,Venezuela
Carol,Murphy,zimmermandavid@example.org,(765)653-7485x75585,Williams Ltd,Qualified,Web,Technology,281126,347,8293 Kristi Groves Apt. 707,Edwardfurt,South Carolina,50770,Guam
Linda,Campbell,jimenezkatelyn@example.com,(572)235-8342x9335,Gray-Fischer,Qualified,Web,Healthcare,762633,710,331 Kathleen Court Apt. 534,Grayside,Kansas,59623,Grenada
William,Crawford,darleneallen@example.org,597-691-5163x735,Burgess-Keith,Converted,Advertisement,Retail,4177321,663,986 Jones Summit Suite 843,North Paulhaven,California,23154,Barbados
David,Hernandez,kimberly57@example.com,+1-386-955-0907x72934,Carney Inc,Qualified,Advertisement,Education,6568947,174,6581 Kimberly Burg Suite 621,South Ashley,Nevada,54590,Bouvet Island (Bouvetoya)
Tara,Mann,nicole99@example.com,783-827-6394,Wallace-Dunn,New,Social Media,Technology,310797,792,83891 Matthew Ridge Suite 972,Davidmouth,Georgia,68496,Ethiopia
Brandon,Rice,krichardson@example.net,(381)274-5990x2486,"Watson, Hansen and Kennedy",Qualified,Advertisement,Retail,9986120,855,474 Fernandez Hill Suite 126,West Jacob,Ohio,72060,Belarus
Martin,Bentley,carly46@example.com,(245)450-4684x20615,Boyd-Watson,Converted,Email Campaign,Technology,5384645,478,46897 Annette Via,Jonesbury,Michigan,76746,Suriname
Stephanie,Stone,antonio67@example.com,623.562.7418,Smith-Green,Lost,Web,Education,8422172,706,958 Charles Lights Suite 801,West John,Missouri,82641,Western Sahara
Connie,Murray,leevictor@example.com,5056741453,Young and Sons,New,Web,Finance,6585750,178,523 Cody Inlet Suite 072,West Joshua,Wyoming,20817,Norfolk Island
Jeremy,Garcia,jenny04@example.net,001-984-507-2461x6370,Jones-Clark,Converted,Email Campaign,Education,5494899,863,3534 Megan Station Suite 159,Port Kevinport,Minnesota,65504,Morocco
Caroline,Ayers,tfoley@example.org,001-221-510-0755,Cameron Group,Contacted,Email Campaign,Technology,3516090,754,68081 Hernandez Estate,Mikeview,Vermont,83048,Bahamas
Derek,Mullins,charles30@example.net,737-570-8959,May Ltd,Qualified,Email Campaign,Education,7319702,823,305 Cynthia Port Suite 491,North Kurtmouth,Oklahoma,76564,Montenegro
Kaylee,Todd,robinsonashley@example.org,859.944.9505x900,Herring-Parsons,Contacted,Email Campaign,Technology,6982428,806,4222 Smith Run,Evansview,North Carolina,47888,Bouvet Island (Bouvetoya)
Jonathan,Myers,johnsonalexandria@example.net,(711)619-2726,Sullivan-Burton,Contacted,Advertisement,Retail,8830060,749,59790 Norman Burgs,Port Angelburgh,Louisiana,24212,Gibraltar
Jeffrey,Meyer,jack81@example.net,(236)604-5814,"Smith, Snyder and Castillo",Qualified,Social Media,Healthcare,1829499,323,002 Paul Garden,Port Joannastad,Arizona,55394,Saint Martin
Stephen,Williams,tamiday@example.com,(728)339-4159,Ruiz-Jones,Converted,Social Media,Healthcare,956215,242,867 Harvey Parkway,Dustinton,Washington,36542,Puerto Rico
Frances,Scott,fburke@example.org,(902)572-8777,Vazquez Group,Contacted,Web,Healthcare,2316206,891,0563 Tapia View Apt. 105,Mullinsstad,Arkansas,26564,Comoros
Carrie,Poole,douglas68@example.com,816.453.3324,Alexander Ltd,Lost,Advertisement,Finance,5730581,387,70478 Sims Field,Catherinemouth,Virginia,44923,Northern Mariana Islands
Richard,Crosby,hvaldez@example.net,-5090,Sandoval-Huffman,Lost,Referral,Healthcare,3410171,839,954 Karen Green Suite 419,South Raymondville,Utah,76273,Peru
Michelle,Black,edwardssarah@example.org,(331)385-0916,Hunter-Roberts,Contacted,Social Media,Healthcare,2283330,195,4807 Mark Field,North Erin,Missouri,84135,Cameroon
Bobby,Hess,tthompson@example.org,001-918-973-0178x4653,"Herrera, Rice and Mitchell",Converted,Advertisement,Finance,7113133,635,7417 Holt Pines,Lake Jonathanborough,Florida,5875,Norfolk Island
Patricia,Mora,adamshaley@example.org,233-326-3349,Simmons-Rivera,Qualified,Email Campaign,Finance,3235760,406,051 Harrison Tunnel,West Melanie,Louisiana,69290,Dominican Republic
Rachel,Russell,fjohnson@example.com,001-784-646-1172x78580,Campbell-Davis,Qualified,Web,Education,659706,711,680 Carey Plaza Suite 369,Alvarezville,Iowa,23127,Isle of Man
Timothy,Combs,velasquezsteven@example.org,3326814215,Schroeder-Murphy,New,Social Media,Technology,1899601,627,35047 Smith Neck Suite 379,Lake Brendantown,Indiana,86052,Oman
John,Wright,adamsscott@example.net,(945)234-2267,Walls LLC,Contacted,Referral,Technology,4452756,538,500 Carr Turnpike Suite 687,Lake Robert,Idaho,76231,Puerto Rico
Sabrina,Irwin,bdalton@example.net,838.630.2224x5058,Atkins and Sons,Qualified,Referral,Technology,705935,242,608 Mcpherson Row,Smithhaven,New York,73867,Qatar
Christopher,Stone,debravargas@example.com,(303)350-9422x629,Allison-Hall,New,Web,Retail,2255467,807,97071 Marks Wells,Petersonmouth,North Dakota,20625,Cameroon
Ashley,Foster,terry53@example.com,3224532308,"Webster, Gonzalez and Lewis",Lost,Web,Retail,752408,691,2065 Tyler Port Apt. 517,New Austin,Colorado,90615,Brazil
Cody,King,gferguson@example.com,721-999-9735,"Hernandez, Roy and Thompson",Contacted,Referral,Finance,4831094,581,5348 Moore Oval,South Bobbyville,Oregon,19196,Antarctica (the territory South of 60 deg S)
Daniel,Harper,craig11@example.net,(390)355-4132x81014,Cantu LLC,Qualified,Email Campaign,Education,965498,964,0896 Abigail Tunnel,Angelaburgh,Maine,46609,Brunei Darussalam
Joseph,Rowland,ricardo68@example.net,535-395-8397x846,Phillips Inc,Qualified,Social Media,Technology,8473911,618,06402 Henderson Ranch,New Moniquemouth,North Dakota,12698,Cocos (Keeling) Islands
Levi,Prince,jeandavis@example.org,+1-990-798-8910x2352,Daniels-Burke,Contacted,Referral,Finance,4592371,88,424 James Light Suite 919,Walkerton,New Mexico,13298,Bolivia
Amanda,Cook,larry71@example.com,728-477-0472x51472,"Hamilton, Smith and Reese",Lost,Email Campaign,Retail,8453709,92,0671 Brooke Plaza Suite 170,Coleland,North Dakota,6396,Albania
Michael,Oliver,sanchezjennifer@example.org,623-237-3920,Holland PLC,Qualified,Social Media,Technology,363991,565,74001 Perez Street,Lucasfurt,South Carolina,25195,Uzbekistan
Jason,Carroll,rhill@example.net,+1-691-884-4997x17536,Hansen-Griffith,Lost,Web,Technology,3287574,76,39331 Allen Stravenue,North Ericmouth,Rhode Island,15185,Jordan
Cassandra,Nicholson,heidiarmstrong@example.net,826-954-6727x51372,Gibson-Vega,Contacted,Web,Retail,8585385,642,15884 Osborne Station Suite 780,Cookburgh,New York,94640,Slovakia (Slovak Republic)
Brenda,Mendoza,kathy94@example.net,678-493-1944x88511,Lamb Group,Qualified,Referral,Education,9442480,71,75762 Cruz Prairie Suite 903,Jimenezstad,Alaska,82692,Andorra
Sarah,Baker,alopez@example.net,001-671-898-6020x2052,Horn and Sons,Qualified,Email Campaign,Healthcare,3633865,350,345 Stephanie Orchard,South Carlbury,Minnesota,64090,Slovakia (Slovak Republic)
Adam,Allen,emilywebster@example.net,8008106353,Walsh and Sons,Qualified,Social Media,Healthcare,6506403,337,22281 Ortiz Cliff,Williammouth,South Dakota,63370,Gabon
Catherine,Salinas,whouse@example.org,001-476-462-5810x53146,Thomas Inc,Contacted,Referral,Finance,9527338,814,6850 Terry Creek Apt. 019,Lake Thomasville,Wyoming,46116,Bouvet Island (Bouvetoya)
Alyssa,Roach,andrewhernandez@example.com,001-830-543-5515x881,Smith LLC,New,Referral,Education,7710303,212,1403 Ethan Stravenue Apt. 249,West Kaylaberg,Texas,81883,Venezuela
Jessica,Mitchell,rogerhernandez@example.org,783.543.2093,Kelly Ltd,Converted,Referral,Healthcare,7254786,132,84975 Patrick Drive,Kimberlyhaven,California,56420,China
Matthew,Carter,tclements@example.org,5889703452,Santiago PLC,Contacted,Web,Retail,2888077,207,181 Knight Mills,Norrisland,North Dakota,32224,United Kingdom
Kathleen,Callahan,peter02@example.net,321-344-8260x818,"Miller, Russell and Curtis",Contacted,Referral,Retail,3349692,798,87788 Brewer Cliff,North Joshua,Minnesota,96442,Jordan
Andrea,Roberts,chopkins@example.net,240-515-0133,Carter-Newton,Lost,Advertisement,Education,4730607,509,440 Denise Ports Apt. 165,Port Justin,Alaska,5014,Guinea
Mark,Anderson,carlathomas@example.net,975-955-0907x17562,Christensen and Sons,New,Web,Finance,2283021,292,52847 Tyler Parkway Apt. 885,Katherineside,Colorado,52202,France
Samuel,Price,blackandrea@example.com,001-798-988-5687x70751,"Jones, Wilcox and Velasquez",Lost,Email Campaign,Education,7062786,594,5805 Porter Isle,Lindseyport,Delaware,84963,Guyana
Roy,Moss,hutchinsonlindsey@example.net,(959)747-4277x76969,Villa Inc,New,Referral,Healthcare,7651401,157,0789 Joshua Circles,New Alexandrastad,Louisiana,42852,Afghanistan
Kent,Sharp,gosborne@example.org,928.621.7704x740,Larson Group,Converted,Email Campaign,Technology,1728785,414,16226 Julie Square Suite 092,Anntown,Nevada,46979,Ethiopia
Carla,Williams,rebeccasmith@example.com,-11309,Ross LLC,New,Web,Education,718950,54,63197 Clark Spurs,West Shawna,Missouri,37897,Libyan Arab Jamahiriya
Derek,Gomez,roypadilla@example.org,240-659-0312x03584,Davis-Cook,Lost,Email Campaign,Education,8061612,560,394 Marie Harbor Suite 710,Robinsonstad,Kentucky,80023,Andorra
Tyler,Deleon,roblescandace@example.net,316.959.9926x7250,"Walker, Hoffman and Curry",Lost,Web,Technology,510313,112,7437 Smith Ridge Apt. 456,East Michael,Nebraska,71341,Bouvet Island (Bouvetoya)
Dylan,Ward,brittany35@example.com,+1-611-721-4368x30683,Cox-Winters,Contacted,Social Media,Finance,8232299,635,64007 Rangel Turnpike,Murphyfurt,Maryland,10041,Austria
Pamela,Brown,kruegersusan@example.org,001-234-737-2530,White LLC,Lost,Referral,Education,8648092,262,81279 Monica Stream,Fletchermouth,Alabama,67935,Algeria
Kathleen,Harrison,gregory73@example.org,9873101267,"Coleman, Mcdonald and Williams",Converted,Email Campaign,Finance,5433576,194,7224 Jones Loop,New James,North Dakota,92604,Poland
Shannon,Taylor,james20@example.org,975-247-1314,Bennett-Rogers,New,Referral,Healthcare,9383167,407,07538 Adams Flats Apt. 761,New Kyle,Idaho,47793,Lao People's Democratic Republic
Linda,Miller,robinpreston@example.net,3149373032,Flores LLC,Qualified,Email Campaign,Technology,7124806,173,649 Werner Hill,Elizabethton,Idaho,3493,North Macedonia
Deborah,Davidson,juan05@example.com,780.560.7058,Edwards and Sons,Converted,Web,Education,2969419,477,2122 Raymond Pass Apt. 126,Cunninghamland,South Dakota,39932,Trinidad and Tobago
Derek,Anderson,harringtonkaitlyn@example.com,885.934.8016,Webster-Rogers,New,Social Media,Finance,2738559,425,5626 Victoria Extensions Apt. 366,Barkerstad,Alaska,75063,Oman
Dawn,Coleman,justin11@example.com,(896)809-3859x429,Nunez-Kirk,Lost,Web,Education,9929214,171,2046 Beverly Green,Richardsonberg,California,27809,Bhutan
Norma,Kim,msimpson@example.net,001-876-492-9074x34663,Khan Group,New,Web,Retail,8025015,124,5392 Williams Drives Apt. 375,South Elizabeth,Montana,42586,Australia
Timothy,Powers,zacharymccarthy@example.net,887-532-4267x3665,White-Hendricks,Contacted,Referral,Education,8482340,313,53470 Paula Bypass Apt. 276,Sarahburgh,Connecticut,25075,South Africa
Daniel,Drake,judith53@example.com,431.962.2776x854,Hunter PLC,New,Referral,Retail,7439552,966,17110 Martinez Overpass Suite 532,North Kimberly,Colorado,50582,Kuwait
Deborah,Park,harmonsamantha@example.com,(237)440-8044,Simmons PLC,Lost,Email Campaign,Education,4294125,554,7452 Peters Courts Apt. 478,South Kellyland,Vermont,19781,Antarctica (the territory South of 60 deg S)
Keith,Patterson,campbellnathaniel@example.net,9669785926,Davis-Carrillo,Contacted,Social Media,Retail,6462070,223,7414 Michael Cape Apt. 300,New Walterland,Delaware,28931,Bosnia and Herzegovina
Kyle,Shaw,amckinney@example.net,+1-249-657-2434x07102,"Walker, Wagner and Curtis",Qualified,Email Campaign,Education,8979901,204,528 Sean Ville Apt. 414,Morrismouth,Kansas,10877,Haiti
Matthew,Hudson,jeffrey42@example.com,605-682-0265x288,Perez-Jones,Contacted,Web,Healthcare,318356,76,644 Leonard Plains,Port Frederick,Nevada,73370,Eritrea
Patricia,Duncan,briana31@example.com,444.533.5914,Good and Sons,Qualified,Referral,Retail,2643634,920,113 Melissa Turnpike,Hardinton,Oregon,79345,Congo
Kenneth,Hunter,ryan05@example.org,303.526.2404x94239,"Mcbride, Taylor and Brown",Lost,Social Media,Retail,7260761,522,79948 Thomas Run Suite 904,North George,South Carolina,61124,Seychelles
Lisa,Bell,veronicanoble@example.net,973.866.5043x8463,"Ayala, Meadows and Steele",Contacted,Social Media,Education,4568849,619,64474 Beth Inlet,South Melissamouth,Montana,52083,Mayotte
Stephen,Murphy,roy16@example.org,536.745.6791,Graham PLC,Contacted,Email Campaign,Finance,8042192,115,155 Erica Run,South Timothy,Idaho,81063,Ghana
Julie,Pham,wmullins@example.org,001-356-840-0137,Jones Group,Lost,Social Media,Finance,2539734,848,6431 Webb Ridges Apt. 804,Nealton,Mississippi,3119,Sudan
Justin,Taylor,nguyenjason@example.org,001-904-407-6271,Combs LLC,Qualified,Social Media,Finance,5274993,181,037 Jill Village Apt. 869,Leachstad,New Jersey,20409,Zimbabwe
Sarah,Rodriguez,nortondavid@example.net,(266)756-0691x52768,Scott-Hughes,Contacted,Social Media,Technology,275825,137,7319 Tina Plains,Lake Andrew,Oregon,25353,Sri Lanka
Nicole,Lee,garciadawn@example.org,+1-802-554-0792x0749,Reed-Meza,Contacted,Web,Healthcare,9300742,46,6938 Gonzalez Neck,Seanstad,Texas,23972,Djibouti
Thomas,Contreras,christopher20@example.org,001-420-693-4980x88090,"Gray, Cobb and Burke",Qualified,Referral,Healthcare,584228,905,7613 Tamara Shore Suite 850,Lake Cathy,Delaware,97653,Cocos (Keeling) Islands
Gregory,Mueller,ymccoy@example.net,626-549-2476,Hendricks-Doyle,Qualified,Social Media,Healthcare,7361952,775,547 Wilson Dam Apt. 312,Graystad,Nebraska,13714,Venezuela
Makayla,Johnson,todd80@example.org,963-310-3287x68088,Allen Inc,Qualified,Email Campaign,Finance,1289699,161,318 Diane Prairie,Emilyberg,Washington,85226,French Southern Territories
Angela,Gay,williamsrebecca@example.com,+1-562-507-3954x69806,"Davis, Delgado and Miller",Converted,Web,Retail,5127802,215,77372 Shane Gardens Apt. 693,Cherylmouth,Nevada,46528,French Guiana
Jillian,Miller,xrangel@example.com,236.371.5459x945,"Murphy, Mccall and Savage",Contacted,Web,Healthcare,7489957,809,55498 Carr Overpass,Sullivanmouth,Michigan,98755,Tuvalu
Ann,Meza,gutierrezscott@example.com,441-866-0849x111,Ferguson-Perry,New,Email Campaign,Finance,4959698,502,71792 Andrew Mission Apt. 995,West Samuelburgh,South Carolina,86719,Ukraine
Shirley,Zimmerman,shawnallison@example.com,001-298-553-6959x6688,"Vasquez, Nielsen and Sloan",Qualified,Referral,Finance,8115092,804,733 Barker Hills,Port Teresastad,Texas,39578,Belarus
Rebecca,Mcdaniel,brownjudy@example.com,514-307-7416,Andrews Ltd,Converted,Email Campaign,Technology,6633527,610,520 Anne Squares,Sarahstad,Wyoming,8285,Bouvet Island (Bouvetoya)
James,Park,rherring@example.org,835-673-6808x5108,Coleman-Allen,Qualified,Referral,Technology,8375848,285,7797 Barnes Estates Apt. 496,Lake Mollyshire,Florida,28226,Guam
Deborah,Williamson,smithdaniel@example.org,881.960.5034x76031,"Scott, Hays and Atkinson",New,Referral,Education,9423116,919,848 James Center,Rodriguezfort,Kansas,35999,Albania
Jessica,Williams,jenniferhorton@example.org,813.462.3092x7955,Lewis-Meyer,New,Advertisement,Education,2897321,324,706 Jeremy Forges,North Breanna,Indiana,29318,Holy See (Vatican City State)
Steven,Parrish,qsawyer@example.com,(483)448-2029,Murphy-Mccoy,Converted,Email Campaign,Finance,7531781,123,7849 David Row Apt. 911,Gonzalesborough,Arizona,86367,Mongolia
